epoch,loss,mse
1,-0.10763195407158259,0.000718341409470242
2,-2.931152897946378,7.53834340278619e-05
3,-4.50693353693536,3.713988745074219e-05
4,-4.7041201185672845,2.5983359746726605e-05
5,-4.785257202513675,2.255545016251222e-05
6,-4.841160870612936,2.06788284211801e-05
7,-4.899060168164842,1.8771511059504578e-05
8,-4.915171714539223,1.8508868766304582e-05
9,-4.939779621489505,1.7815502292734815e-05
10,-4.961533860957369,1.713358778943075e-05
11,-4.973765763830631,1.694609603718879e-05
12,-4.9931578788351505,1.638642492678705e-05
13,-4.9899610204899565,1.6598674131060723e-05
14,-5.001221027780087,1.6343709782457617e-05
15,-5.0191578357777695,1.5810637086496113e-05
16,-5.020597082503299,1.581550046428171e-05
17,-5.03723557451938,1.5331003512673828e-05
18,-5.037333523973506,1.5403840347487934e-05
19,-5.0338097836108915,1.5470439132301142e-05
20,-5.045474828557765,1.516940145596349e-05
21,-5.05253696948924,1.4975762467734154e-05
22,-5.0596216485855425,1.476765493784927e-05
23,-5.053781144162442,1.5016166537649004e-05
24,-5.060020634468565,1.4844201649929287e-05
25,-5.067508829400895,1.4649910882964948e-05
26,-5.065714775247777,1.4707325454822993e-05
27,-5.077689196201081,1.4361354231446154e-05
28,-5.075534561847118,1.447938935366147e-05
29,-5.0649764030537705,1.4777935033867215e-05
30,-5.082548932826265,1.428083117950356e-05
31,-5.092601441322489,1.400478399870174e-05
32,-5.08190145391099,1.4341867668879283e-05
33,-5.087625067284766,1.4131063487203642e-05
34,-5.0845079929270645,1.4238961826544874e-05
35,-5.092696747881301,1.4041038944111626e-05
36,-5.106501437248068,1.3697858147234582e-05
37,-5.097340162764204,1.3931346587769246e-05
38,-5.106504181598095,1.3700574807908778e-05
39,-5.104274349009737,1.3740770061710289e-05
40,-5.097451828895731,1.392662664890869e-05
41,-5.106505353400048,1.3736840967194826e-05
42,-5.110500817603254,1.3598966514574057e-05
43,-5.104458641498647,1.3794527429591325e-05
44,-5.110369398238811,1.3630370089463503e-05
45,-5.109833712273455,1.366826151578162e-05
46,-5.108237433940806,1.3660757981307008e-05
47,-5.1160179046874354,1.3489692158126422e-05
48,-5.107194854858074,1.3701621055781985e-05
49,-5.109444927661977,1.366968260125314e-05
50,-5.1217192538241125,1.3370962423845838e-05
