episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
0,1.0,120,144,24,0.1667,120.0,60.0,16.0,18.0,0.8889,2.0,15.9,0.0107,0.06,850.56,60,0.758924,32175.879102,1.420288,-0.462998,0.0,1.0,1.4966
1,1.0,120,138,18,0.1304,120.0,60.0,20.35,18.0,1.1304,2.0,20.25,0.0177,0.06,1230.16,60,4.45184,67222.711719,1.423311,-0.63805,0.0,1.0,1.393
2,1.0,106,124,18,0.1452,106.0,60.0,16.41,18.0,0.9118,1.7667,16.31,0.0262,0.06,743.02,60,0.91379,31313.054492,1.426343,-0.473048,0.0,1.0,1.4853
3,1.0,108,125,17,0.136,108.0,60.0,17.71,18.0,0.984,1.8,17.61,0.0338,0.06,652.47,60,0.336315,28997.550586,1.428535,-0.274705,0.0,1.0,1.4093
4,1.0,113,136,23,0.1691,113.0,60.0,14.79,18.0,0.8217,1.8833,14.69,0.0447,0.06,1027.18,60,0.336138,40870.5625,1.429934,-0.320583,0.0,1.0,1.4888
5,1.0,109,131,22,0.1679,109.0,60.0,14.39,18.0,0.7997,1.8167,14.29,0.0555,0.06,384.09,60,0.795491,12369.310352,1.431141,-0.229897,0.0,1.0,1.4318
6,1.0,117,138,21,0.1522,117.0,60.0,17.3,18.0,0.9609,1.95,17.2,0.0647,0.06,1129.91,60,0.558612,61544.009766,1.432703,-0.303751,0.0,1.0,1.451
7,1.0,112,125,13,0.104,112.0,60.0,21.95,18.0,1.2196,1.8667,21.85,0.0691,0.06,1148.07,60,0.207934,64862.569922,1.433854,-0.284801,0.0,1.0,1.4033
8,1.0,111,127,16,0.126,111.0,60.0,19.32,18.0,1.0731,1.85,19.22,0.0757,0.06,1207.01,60,0.094656,66054.554688,1.434573,-0.447232,0.0,1.0,1.3338
9,1.0,106,119,13,0.1092,106.0,60.0,20.22,18.0,1.1233,1.7667,20.12,0.0807,0.06,1045.22,60,0.912184,54001.723438,1.435191,-0.439795,0.0,1.0,1.472
10,1.0,99,121,22,0.1818,99.0,60.0,11.7,18.0,0.65,1.65,11.6,0.0929,0.06,840.27,60,0.528753,27553.875391,1.436122,-0.36141,0.0,1.0,1.5359
11,1.0,105,122,17,0.1393,105.0,60.0,16.87,18.0,0.9372,1.75,16.77,0.1008,0.06,1290.63,60,0.715689,75200.416406,1.437222,-0.296633,0.0,1.0,1.3473
12,1.0,120,146,26,0.1781,120.0,60.0,14.63,18.0,0.8128,2.0,14.53,0.1126,0.06,835.82,60,0.761566,31927.519141,1.438276,-0.472878,0.0,1.0,1.4402
13,1.0,106,122,16,0.1311,106.0,60.0,17.9,18.0,0.9944,1.7667,17.8,0.1197,0.06,1139.47,60,0.684075,59098.926172,1.439423,-0.464493,0.0,1.0,1.352
14,1.0,105,126,21,0.1667,105.0,60.0,14.0,18.0,0.7778,1.75,13.9,0.1304,0.06,1063.54,60,0.900316,45967.479688,1.440489,-0.438498,0.0,1.0,1.4192
15,1.0,105,124,19,0.1532,105.0,60.0,15.41,18.0,0.8562,1.75,15.31,0.1397,0.06,823.04,60,0.587882,32654.258594,1.441588,-0.549562,0.0,1.0,1.4667
16,1.0,112,130,18,0.1385,112.0,60.0,18.09,18.0,1.0051,1.8667,17.99,0.1475,0.06,1394.56,60,0.699766,90243.295312,1.442654,-0.350845,0.0,1.0,1.3546
17,1.0,120,133,13,0.0977,120.0,60.0,24.27,18.0,1.3484,2.0,24.17,0.1513,0.06,1482.7,60,0.645579,109816.06875,1.443489,-0.492688,0.0,1.0,1.4191
18,1.0,113,129,16,0.124,113.0,60.0,19.88,18.0,1.1047,1.8833,19.78,0.1577,0.06,992.26,60,0.671698,49122.948047,1.444227,-0.497363,0.0,1.0,1.425
19,1.0,141,156,15,0.0962,141.0,60.0,28.74,18.0,1.5968,2.35,28.64,0.1613,0.06,1831.01,60,0.220574,166238.857812,1.444931,-0.304551,0.0,1.0,1.3385
20,1.0,115,137,22,0.1606,115.0,60.0,16.03,18.0,0.8907,1.9167,15.93,0.1714,0.06,1171.47,60,0.194241,65205.261328,1.445401,-0.401434,0.0,1.0,1.3256
21,1.0,111,130,19,0.1462,111.0,60.0,17.08,18.0,0.9487,1.85,16.98,0.18,0.06,958.31,60,1.328926,48776.438672,1.445955,-0.476393,0.0,1.0,1.3473
22,1.0,114,135,21,0.1556,114.0,60.0,16.47,18.0,0.9148,1.9,16.37,0.1896,0.06,1187.92,60,1.762244,66911.823438,1.447213,-0.480893,0.0,1.0,1.3657
23,1.0,113,141,28,0.1986,113.0,60.0,11.46,18.0,0.6367,1.8833,11.36,0.2034,0.06,837.02,60,0.372376,30866.262109,1.448829,-0.391706,0.0,1.0,1.3868
24,1.0,106,137,31,0.2263,106.0,60.0,7.81,18.0,0.4341,1.7667,7.71,0.2201,0.06,869.45,60,0.821168,24431.006836,1.450346,-0.554453,0.0,1.0,1.3946
25,1.0,106,119,13,0.1092,106.0,60.0,20.22,18.0,1.1233,1.7667,20.12,0.225,0.06,1172.83,60,0.537998,72562.642969,1.452058,-0.53564,0.0,1.0,1.359
26,1.0,123,143,20,0.1399,123.0,60.0,19.7,18.0,1.0943,2.05,19.6,0.233,0.06,1175.31,60,0.259443,68842.421875,1.453227,-0.276242,0.0,1.0,1.3781
27,1.0,117,136,19,0.1397,117.0,60.0,18.75,18.0,1.0419,1.95,18.65,0.2409,0.06,1419.57,60,1.129996,89909.163281,1.454062,-0.543911,0.0,1.0,1.3504
28,1.0,116,139,23,0.1655,116.0,60.0,15.61,18.0,0.867,1.9333,15.51,0.2515,0.06,673.07,60,0.76838,25200.238477,1.45519,-0.401119,0.0,1.0,1.4392
29,1.0,122,142,20,0.1408,122.0,60.0,19.42,18.0,1.0787,2.0333,19.32,0.2596,0.06,1225.82,60,0.457719,82731.246094,1.45648,-0.455925,0.0,1.0,1.3425
30,1.0,97,117,20,0.1709,97.0,60.0,12.52,18.0,0.6955,1.6167,12.42,0.2707,0.06,858.1,60,0.174517,31869.025977,1.457403,-0.337136,0.0,1.0,1.4149
31,1.0,126,148,22,0.1486,126.0,60.0,19.07,18.0,1.0595,2.1,18.97,0.2795,0.06,1371.28,60,0.498858,79070.04375,1.458058,-0.373185,0.0,1.0,1.3656
32,1.0,98,112,14,0.125,98.0,60.0,17.15,18.0,0.9528,1.6333,17.05,0.286,0.06,1182.19,60,0.987319,62800.767969,1.458779,-0.512637,0.0,1.0,1.4047
33,1.0,111,134,23,0.1716,111.0,60.0,14.25,18.0,0.7915,1.85,14.15,0.2972,0.06,488.68,60,1.45543,13733.8875,1.460142,-0.426888,0.0,1.0,1.326
34,1.0,110,123,13,0.1057,110.0,60.0,21.37,18.0,1.1874,1.8333,21.27,0.3018,0.06,1119.93,60,6.291705,71604.148438,1.463079,-0.440903,0.0,1.0,1.3599
35,1.0,114,140,26,0.1857,114.0,60.0,13.03,18.0,0.7238,1.9,12.93,0.3143,0.06,391.05,60,0.763847,9942.686621,1.467039,-0.422792,0.0,1.0,1.5051
36,1.0,115,143,28,0.1958,115.0,60.0,11.98,18.0,0.6657,1.9167,11.88,0.3279,0.06,1104.3,60,0.026134,53153.280078,1.469887,-0.395835,0.0,1.0,1.346
37,1.0,122,159,37,0.2327,122.0,60.0,8.21,18.0,0.4561,2.0333,8.11,0.3452,0.06,467.29,60,0.450602,16518.551562,1.471481,-0.368913,0.0,1.0,1.3136
38,1.0,112,136,24,0.1765,112.0,60.0,13.84,18.0,0.7686,1.8667,13.74,0.3568,0.06,525.76,60,0.602615,21369.979102,1.472944,-0.32404,0.0,1.0,1.4283
39,1.0,100,116,16,0.1379,100.0,60.0,16.21,18.0,0.9004,1.6667,16.11,0.3646,0.06,1106.89,60,0.136152,45542.272656,1.474374,-0.344741,0.0,1.0,1.5018
40,1.0,123,138,15,0.1087,123.0,60.0,23.53,18.0,1.3072,2.05,23.43,0.3695,0.06,1894.44,60,0.158448,163344.726562,1.475249,-0.313107,0.0,1.0,1.3407
41,1.0,117,135,18,0.1333,117.0,60.0,19.5,18.0,1.0833,1.95,19.4,0.3768,0.06,1162.52,60,0.709789,53907.644141,1.475873,-0.469579,0.0,1.0,1.4659
42,1.0,105,134,29,0.2164,105.0,60.0,8.78,18.0,0.4876,1.75,8.68,0.3925,0.06,886.24,60,0.248421,33086.756641,1.476667,-0.444267,0.0,1.0,1.3586
43,1.0,130,152,22,0.1447,130.0,60.0,20.18,18.0,1.1213,2.1667,20.08,0.4009,0.06,1208.49,60,1.398342,59838.789453,1.477614,-0.539095,0.0,1.0,1.3998
44,1.0,103,127,24,0.189,103.0,60.0,11.44,18.0,0.6353,1.7167,11.34,0.4138,0.06,874.1,60,0.737908,32546.24043,1.478793,-0.297637,0.0,1.0,1.3618
45,1.0,136,162,26,0.1605,136.0,60.0,18.97,18.0,1.054,2.2667,18.87,0.4239,0.06,1120.48,60,0.552854,52184.471484,1.480029,-0.396808,0.0,1.0,1.5409
46,1.0,134,164,30,0.1829,134.0,60.0,15.69,18.0,0.8715,2.2333,15.59,0.4362,0.06,1246.19,60,1.142852,65689.525781,1.481233,-0.482864,0.0,1.0,1.3398
47,1.0,119,151,32,0.2119,119.0,60.0,10.48,18.0,0.5823,1.9833,10.38,0.4514,0.06,804.15,60,0.197553,26711.464258,1.482468,-0.39453,0.0,1.0,1.4776
48,1.0,121,143,22,0.1538,121.0,60.0,17.68,18.0,0.9825,2.0167,17.58,0.4608,0.06,1035.16,60,0.316425,46571.589062,1.483526,-0.374271,0.0,1.0,1.4054
49,1.0,125,148,23,0.1554,125.0,60.0,18.07,18.0,1.0041,2.0833,17.97,0.4703,0.06,706.62,60,0.441302,22778.267383,1.484453,-0.329416,0.0,1.0,1.3993
50,1.0,123,154,31,0.2013,123.0,60.0,12.14,18.0,0.6745,2.05,12.04,0.4844,0.06,320.6,60,8.719581,10692.220703,1.488247,-0.472959,0.0,1.0,1.366
51,1.0,123,142,19,0.1338,123.0,60.0,20.44,18.0,1.1357,2.05,20.34,0.4918,0.06,878.31,60,1.012303,45754.676562,1.497212,-0.376596,0.0,1.0,1.3577
52,1.0,115,139,24,0.1727,115.0,60.0,14.64,18.0,0.8135,1.9167,14.54,0.5031,0.06,835.09,60,0.240069,30133.382812,1.501926,-0.278979,0.0,1.0,1.3889
53,1.0,127,145,18,0.1241,127.0,60.0,22.33,18.0,1.2408,2.1167,22.23,0.5095,0.06,1456.87,60,0.919061,78412.507031,1.503909,-0.592027,0.0,1.0,1.5337
54,1.0,121,141,20,0.1418,121.0,60.0,19.14,18.0,1.0632,2.0167,19.04,0.5177,0.06,1384.38,60,0.256377,78273.205469,1.504872,-0.450512,0.0,1.0,1.3933
55,1.0,118,141,23,0.1631,118.0,60.0,16.15,18.0,0.8973,1.9667,16.05,0.528,0.06,507.15,60,0.340324,18057.66875,1.505463,-0.332167,0.0,1.0,1.3545
56,1.0,108,129,21,0.1628,108.0,60.0,14.82,18.0,0.8233,1.8,14.72,0.5383,0.06,849.03,60,0.165648,33206.281055,1.506022,-0.422167,0.0,1.0,1.4214
57,1.0,124,148,24,0.1622,124.0,60.0,17.09,18.0,0.9495,2.0667,16.99,0.5485,0.06,948.53,60,1.010633,46718.226172,1.506522,-0.402414,0.0,1.0,1.4566
58,1.0,141,159,18,0.1132,141.0,60.0,26.34,18.0,1.4632,2.35,26.24,0.5538,0.06,2193.07,60,0.062161,215854.10625,1.507038,-0.314661,0.0,1.0,1.3065
59,1.0,132,156,24,0.1538,132.0,60.0,19.29,18.0,1.0718,2.2,19.19,0.5632,0.06,893.32,60,0.450466,40517.310547,1.5074,-0.45389,0.0,1.0,1.4196
60,1.0,107,134,27,0.2015,107.0,60.0,10.54,18.0,0.5856,1.7833,10.44,0.5773,0.06,615.6,60,0.858758,14223.205762,1.507968,-0.297572,0.0,1.0,1.4928
61,1.0,106,126,20,0.1587,106.0,60.0,14.97,18.0,0.8319,1.7667,14.87,0.5872,0.06,843.25,60,0.196778,30357.625586,1.50899,-0.330175,0.0,1.0,1.4065
62,1.0,104,133,29,0.218,104.0,60.0,8.52,18.0,0.4735,1.7333,8.42,0.603,0.06,537.74,60,21.977687,11177.981934,1.513047,-0.630223,0.0,1.0,1.4742
63,1.0,134,153,19,0.1242,134.0,60.0,23.56,18.0,1.3089,2.2333,23.46,0.6094,0.06,1916.92,60,0.762471,149558.628125,1.522815,-0.41617,0.0,1.0,1.4155
64,1.0,105,123,18,0.1463,105.0,60.0,16.13,18.0,0.8963,1.75,16.03,0.6181,0.06,1466.54,60,1.176892,96634.260938,1.52764,-0.585869,0.0,1.0,1.3073
65,1.0,113,139,26,0.1871,113.0,60.0,12.76,18.0,0.7091,1.8833,12.66,0.6308,0.06,823.25,60,0.171508,28984.070898,1.52954,-0.364776,0.0,1.0,1.3632
66,1.0,122,136,14,0.1029,122.0,60.0,24.04,18.0,1.3356,2.0333,23.94,0.6351,0.06,1273.07,60,1.862619,85724.650781,1.530387,-0.364153,0.0,1.0,1.4593
67,1.0,126,150,24,0.16,126.0,60.0,17.64,18.0,0.98,2.1,17.54,0.6451,0.06,1257.89,60,0.146607,68709.750781,1.530915,-0.313902,0.0,1.0,1.3451
68,1.0,121,139,18,0.1295,121.0,60.0,20.63,18.0,1.1462,2.0167,20.53,0.652,0.06,1678.54,60,0.315315,129708.660938,1.531204,-0.343138,0.0,1.0,1.2878
69,1.0,124,156,32,0.2051,124.0,60.0,11.76,18.0,0.6536,2.0667,11.66,0.6665,0.06,492.15,60,0.241818,8690.141602,1.531414,-0.260035,0.0,1.0,1.2984
70,1.0,101,130,29,0.2231,101.0,60.0,7.77,18.0,0.4316,1.6833,7.67,0.6828,0.06,420.61,60,1.018908,8562.771582,1.531828,-0.345543,0.0,1.0,1.4616
71,1.0,106,130,24,0.1846,106.0,60.0,12.23,18.0,0.6795,1.7667,12.13,0.6953,0.06,940.35,60,0.677461,38977.955078,1.532521,-0.5144,0.0,1.0,1.3465
72,1.0,110,127,17,0.1339,110.0,60.0,18.28,18.0,1.0153,1.8333,18.18,0.7027,0.06,946.4,60,1.005665,36691.382422,1.533075,-0.437049,0.0,1.0,1.48
73,1.0,137,158,21,0.1329,137.0,60.0,22.89,18.0,1.2717,2.2833,22.79,0.71,0.06,1772.91,60,0.216631,126728.536719,1.533535,-0.529444,0.0,1.0,1.4001
74,1.0,98,125,27,0.216,98.0,60.0,8.23,18.0,0.4573,1.6333,8.13,0.7256,0.06,351.77,60,1.055815,5855.162988,1.533968,-0.424678,0.0,1.0,1.3744
75,1.0,110,137,27,0.1971,110.0,60.0,11.32,18.0,0.629,1.8333,11.22,0.7393,0.06,779.42,60,0.272562,26298.837695,1.534738,-0.36178,0.0,1.0,1.395
76,1.0,130,150,20,0.1333,130.0,60.0,21.67,18.0,1.2037,2.1667,21.57,0.7466,0.06,1287.38,60,0.210262,75988.2625,1.535242,-0.385909,0.0,1.0,1.348
77,1.0,118,139,21,0.1511,118.0,60.0,17.57,18.0,0.9763,1.9667,17.47,0.7557,0.06,1078.54,60,0.226393,60714.944922,1.535517,-0.490025,0.0,1.0,1.39
78,1.0,132,158,26,0.1646,132.0,60.0,17.88,18.0,0.9932,2.2,17.78,0.7662,0.06,980.88,60,4.417344,38948.302734,1.535984,-0.527429,0.0,1.0,1.5187
79,1.0,120,138,18,0.1304,120.0,60.0,20.35,18.0,1.1304,2.0,20.25,0.7732,0.06,1061.28,60,1.208241,68194.5625,1.537168,-0.37675,0.0,1.0,1.3626
80,1.0,119,141,22,0.156,119.0,60.0,17.13,18.0,0.9518,1.9833,17.03,0.7828,0.06,773.27,60,1.875873,35545.947656,1.538119,-0.539964,0.0,1.0,1.358
81,1.0,119,139,20,0.1439,119.0,60.0,18.58,18.0,1.0321,1.9833,18.48,0.7912,0.06,668.57,60,0.353057,25116.430273,1.538969,-0.370874,0.0,1.0,1.3186
82,1.0,101,134,33,0.2463,101.0,60.0,5.43,18.0,0.3015,1.6833,5.33,0.8098,0.06,108.19,60,1.015941,3722.873901,1.53988,-0.569982,0.0,1.0,1.2895
83,1.0,123,153,30,0.1961,123.0,60.0,12.78,18.0,0.7101,2.05,12.68,0.8234,0.06,910.1,60,0.263922,32318.809375,1.541535,-0.214646,0.0,1.0,1.4462
84,1.0,125,147,22,0.1497,125.0,60.0,18.79,18.0,1.044,2.0833,18.69,0.8324,0.06,1306.37,60,0.936588,71825.603125,1.542507,-0.475108,0.0,1.0,1.4092
85,1.0,92,115,23,0.2,92.0,60.0,9.2,18.0,0.5111,1.5333,9.1,0.8464,0.06,471.38,60,5.620367,7513.46626,1.543901,-0.749551,0.0,1.0,1.4654
86,1.0,99,127,28,0.2205,99.0,60.0,7.87,18.0,0.4374,1.65,7.77,0.8625,0.06,689.88,60,-0.161197,15229.316309,1.547181,-0.181854,0.0,1.0,1.4574
87,1.0,108,135,27,0.2,108.0,60.0,10.8,18.0,0.6,1.8,10.7,0.8765,0.06,720.73,60,0.226142,17724.314453,1.548992,-0.438666,0.0,1.0,1.4122
88,1.0,102,133,31,0.2331,102.0,60.0,6.83,18.0,0.3792,1.7,6.73,0.8938,0.06,421.36,60,0.566045,6277.690381,1.549906,-0.453271,0.0,1.0,1.4157
89,1.0,120,139,19,0.1367,120.0,60.0,19.6,18.0,1.0887,2.0,19.5,0.9014,0.06,1233.39,60,0.250606,64750.945703,1.550624,-0.349151,0.0,1.0,1.3918
90,1.0,109,153,44,0.2876,109.0,60.0,1.35,18.0,0.0752,1.8167,1.25,0.9242,0.06,-274.03,60,0.869907,4023.513525,1.55127,-0.350624,0.0,1.0,1.4005
91,1.0,131,161,30,0.1863,131.0,60.0,14.89,18.0,0.8272,2.1833,14.79,0.9368,0.06,586.08,60,0.476323,20441.220312,1.552447,-0.418146,0.0,1.0,1.3282
92,1.0,114,129,15,0.1163,114.0,60.0,20.94,18.0,1.1636,1.9,20.84,0.9425,0.06,1337.93,60,0.403595,76767.621094,1.553256,-0.480024,0.0,1.0,1.4632
93,1.0,127,144,17,0.1181,127.0,60.0,23.11,18.0,1.2837,2.1167,23.01,0.9483,0.06,1478.21,60,0.279119,108891.779688,1.553694,-0.42741,0.0,1.0,1.4132
94,1.0,145,167,22,0.1317,145.0,60.0,24.4,18.0,1.3555,2.4167,24.3,0.9554,0.06,1635.71,60,0.545118,123825.482031,1.55396,-0.331374,0.0,1.0,1.3824
95,1.0,120,141,21,0.1489,120.0,60.0,18.13,18.0,1.0071,2.0,18.03,0.9643,0.06,1223.48,60,0.227997,60282.323438,1.554179,-0.479533,0.0,1.0,1.3886
