episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
0,1.0,111,141,30,0.2128,111.0,60.0,9.68,18.0,0.5379,1.85,9.58,0.0,0.06,663.9,60,0.549358,19518.188477,1.420288,-0.463076,0.6354,1.0,1.2597
1,1.0,115,135,20,0.1481,115.0,60.0,17.46,18.0,0.9702,1.9167,17.36,0.0,0.06,942.36,60,3.850047,36994.085156,1.423306,-0.638099,0.9604,1.0,1.3054
2,1.0,97,112,15,0.1339,97.0,60.0,16.11,18.0,0.8949,1.6167,16.01,0.0,0.06,1248.48,60,0.521213,63442.486328,1.426248,-0.473085,0.9482,1.0,1.3861
3,1.0,121,148,27,0.1824,121.0,60.0,14.23,18.0,0.7903,2.0167,14.13,0.0,0.06,1044.63,60,0.283549,50495.850391,1.428087,-0.274856,0.8273,1.0,1.3214
4,1.0,101,133,32,0.2406,101.0,60.0,6.0,18.0,0.3333,1.6833,5.9,0.0,0.06,379.19,60,0.276945,9185.909863,1.429262,-0.320564,0.6758,1.0,1.3753
5,1.0,128,145,17,0.1172,128.0,60.0,23.39,18.0,1.2996,2.1333,23.29,0.0,0.06,1578.28,60,0.57484,113756.480469,1.430369,-0.229934,0.964,1.0,1.3537
6,1.0,120,141,21,0.1489,120.0,60.0,18.13,18.0,1.0071,2.0,18.03,0.0,0.06,914.92,60,0.51917,40161.122656,1.431203,-0.303866,0.9141,1.0,1.4296
7,1.0,123,140,17,0.1214,123.0,60.0,21.96,18.0,1.2202,2.05,21.86,0.0,0.06,1534.67,60,0.171314,113932.9375,1.431938,-0.283854,0.5696,1.0,1.3013
8,1.0,109,130,21,0.1615,109.0,60.0,15.09,18.0,0.8385,1.8167,14.99,0.0,0.06,897.78,60,0.187862,35803.5125,1.432464,-0.447159,0.6453,1.0,1.402
9,1.0,104,120,16,0.1333,104.0,60.0,17.33,18.0,0.963,1.7333,17.23,0.0,0.06,833.62,60,0.816137,42326.6375,1.433063,-0.438505,0.5897,1.0,1.2781
10,1.0,101,115,14,0.1217,101.0,60.0,18.0,18.0,1.0002,1.6833,17.9,0.0,0.06,1124.99,60,0.604303,56578.050391,1.433953,-0.360619,0.7919,1.0,1.3694
11,1.0,113,131,18,0.1374,113.0,60.0,18.37,18.0,1.0207,1.8833,18.27,0.0,0.06,897.08,60,0.765277,41976.130859,1.4349,-0.295529,0.6316,1.0,1.3323
12,1.0,121,144,23,0.1597,121.0,60.0,16.97,18.0,0.943,2.0167,16.87,0.0,0.06,1415.48,60,0.601792,98890.264844,1.43585,-0.473241,0.7732,1.0,1.2691
13,1.0,103,115,12,0.1043,103.0,60.0,20.15,18.0,1.1196,1.7167,20.05,0.0,0.06,1339.3,60,0.585164,79396.9875,1.436651,-0.463215,0.8447,1.0,1.3095
14,1.0,102,118,16,0.1356,102.0,60.0,16.77,18.0,0.9316,1.7,16.67,0.0,0.06,1492.3,60,0.915602,82206.753906,1.437389,-0.437544,0.6428,1.0,1.3628
15,1.0,108,130,22,0.1692,108.0,60.0,14.12,18.0,0.7846,1.8,14.02,0.0,0.06,1143.9,60,0.526829,66178.498047,1.438167,-0.549088,0.5951,1.0,1.2498
16,1.0,117,142,25,0.1761,117.0,60.0,14.5,18.0,0.8056,1.95,14.4,0.0,0.06,1426.17,60,0.292593,84882.0625,1.438899,-0.350427,0.741,1.0,1.3053
17,1.0,108,129,21,0.1628,108.0,60.0,14.82,18.0,0.8233,1.8,14.72,0.0,0.06,814.12,60,0.696188,29335.992383,1.439547,-0.491992,0.6931,1.0,1.2541
18,1.0,98,117,19,0.1624,98.0,60.0,13.49,18.0,0.7492,1.6333,13.39,0.0,0.06,698.28,60,0.783837,24644.749023,1.440509,-0.495277,0.724,1.0,1.3332
19,1.0,121,149,28,0.1879,121.0,60.0,13.56,18.0,0.7534,2.0167,13.46,0.0,0.06,923.62,60,0.213438,42220.167969,1.441564,-0.303348,0.5662,1.0,1.319
20,1.0,114,132,18,0.1364,114.0,60.0,18.65,18.0,1.0364,1.9,18.55,0.0,0.06,1659.39,60,0.211106,121901.061719,1.442278,-0.399174,0.6388,1.0,1.3751
21,1.0,111,130,19,0.1462,111.0,60.0,17.08,18.0,0.9487,1.85,16.98,0.0,0.06,1299.1,60,1.201793,77156.050781,1.442836,-0.471837,0.5509,1.0,1.3405
22,1.0,102,125,23,0.184,102.0,60.0,11.83,18.0,0.6573,1.7,11.73,0.0,0.06,1010.9,60,1.443371,46921.825391,1.443859,-0.477894,0.9889,1.0,1.312
23,1.0,112,130,18,0.1385,112.0,60.0,18.09,18.0,1.0051,1.8667,17.99,0.0,0.06,979.91,60,0.413832,46175.013281,1.445333,-0.390738,0.7546,1.0,1.4432
24,1.0,117,134,17,0.1269,117.0,60.0,20.26,18.0,1.1254,1.95,20.16,0.0,0.06,1102.2,60,1.573143,47319.288672,1.446694,-0.554562,0.8047,1.0,1.482
25,1.0,108,128,20,0.1562,108.0,60.0,15.52,18.0,0.8625,1.8,15.42,0.0,0.06,1162.63,60,0.231558,54055.817188,1.448313,-0.532702,0.5535,1.0,1.3482
26,1.0,116,139,23,0.1655,116.0,60.0,15.61,18.0,0.867,1.9333,15.51,0.0,0.06,933.4,60,0.166004,44195.760547,1.4494,-0.274152,0.8656,1.0,1.2816
27,1.0,121,136,15,0.1103,121.0,60.0,22.95,18.0,1.2752,2.0167,22.85,0.0,0.06,1146.74,60,1.44542,65169.900391,1.450276,-0.542931,0.6268,1.0,1.3183
28,1.0,123,143,20,0.1399,123.0,60.0,19.7,18.0,1.0943,2.05,19.6,0.0,0.06,789.47,60,0.522989,28658.77168,1.451546,-0.402873,0.626,1.0,1.2947
29,1.0,102,132,30,0.2273,102.0,60.0,7.42,18.0,0.4121,1.7,7.32,0.0,0.06,407.21,60,0.515651,7936.812549,1.452878,-0.455839,0.6819,1.0,1.4464
30,1.0,128,146,18,0.1233,128.0,60.0,22.62,18.0,1.2566,2.1333,22.52,0.0,0.06,1488.98,60,0.096402,94982.270312,1.454336,-0.33589,0.9382,1.0,1.4653
31,1.0,108,131,23,0.1756,108.0,60.0,13.44,18.0,0.7466,1.8,13.34,0.0,0.06,474.04,60,0.501965,12088.08916,1.455305,-0.377328,0.5809,1.0,1.2557
32,1.0,132,152,20,0.1316,132.0,60.0,22.23,18.0,1.2351,2.2,22.13,0.0,0.06,1204.29,60,1.013857,68785.226562,1.456486,-0.511189,0.5548,1.0,1.3852
33,1.0,123,140,17,0.1214,123.0,60.0,21.96,18.0,1.2202,2.05,21.86,0.0,0.06,934.46,60,1.213244,55183.710938,1.457706,-0.427358,0.6921,1.0,1.3119
34,1.0,116,137,21,0.1533,116.0,60.0,17.02,18.0,0.9455,1.9333,16.92,0.0,0.06,923.99,60,7.643028,39096.661328,1.459916,-0.434912,0.953,1.0,1.3935
35,1.0,120,144,24,0.1667,120.0,60.0,16.0,18.0,0.8889,2.0,15.9,0.0,0.06,1474.5,60,0.283469,80391.852344,1.463972,-0.417049,0.9096,1.0,1.3795
36,1.0,123,155,32,0.2065,123.0,60.0,11.51,18.0,0.6392,2.05,11.41,0.0,0.06,769.25,60,0.107865,23701.172461,1.46627,-0.394404,0.8032,1.0,1.2869
