episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
0,1.0,111,141,30,0.2128,111.0,60.0,9.68,18.0,0.5379,1.85,9.58,0.0153,0.06,663.9,60,0.549358,19518.188477,1.420288,-0.463076,0.6354,1.0,1.2597
1,1.0,115,135,20,0.1481,115.0,60.0,17.46,18.0,0.9702,1.9167,17.36,0.0241,0.06,942.27,60,3.849898,36986.076562,1.423306,-0.638099,0.9604,1.0,1.3055
2,1.0,97,112,15,0.1339,97.0,60.0,16.11,18.0,0.8949,1.6167,16.01,0.0315,0.06,1248.39,60,0.521195,63431.776953,1.426248,-0.473085,0.9482,1.0,1.3861
3,1.0,121,148,27,0.1824,121.0,60.0,14.23,18.0,0.7903,2.0167,14.13,0.0437,0.06,1044.45,60,0.28354,50477.636328,1.428087,-0.274856,0.8273,1.0,1.3214
4,1.0,101,133,32,0.2406,101.0,60.0,6.0,18.0,0.3333,1.6833,5.9,0.0618,0.06,378.71,60,0.276833,9167.399805,1.429262,-0.320564,0.6758,1.0,1.3754
5,1.0,128,145,17,0.1172,128.0,60.0,23.39,18.0,1.2996,2.1333,23.29,0.0675,0.06,1578.13,60,0.574765,113730.95,1.430369,-0.229934,0.964,1.0,1.3537
6,1.0,120,141,21,0.1489,120.0,60.0,18.13,18.0,1.0071,2.0,18.03,0.0764,0.06,914.51,60,0.519161,40124.923047,1.431204,-0.303866,0.9141,1.0,1.4296
7,1.0,123,140,17,0.1214,123.0,60.0,21.96,18.0,1.2202,2.05,21.86,0.0825,0.06,1534.5,60,0.171285,113905.494531,1.431939,-0.283854,0.5696,1.0,1.3014
8,1.0,109,130,21,0.1615,109.0,60.0,15.09,18.0,0.8385,1.8167,14.99,0.0927,0.06,897.21,60,0.187844,35756.290234,1.432465,-0.44716,0.6453,1.0,1.4021
9,1.0,104,120,16,0.1333,104.0,60.0,17.33,18.0,0.963,1.7333,17.23,0.1,0.06,833.06,60,0.815738,42287.077344,1.433065,-0.438506,0.5897,1.0,1.2782
10,1.0,101,115,14,0.1217,101.0,60.0,18.0,18.0,1.0002,1.6833,17.9,0.1062,0.06,1124.65,60,0.60422,56540.23125,1.433955,-0.36062,0.7919,1.0,1.3695
11,1.0,113,131,18,0.1374,113.0,60.0,18.37,18.0,1.0207,1.8833,18.27,0.1139,0.06,896.31,60,0.765161,41912.466016,1.434902,-0.29553,0.6316,1.0,1.3322
12,1.0,121,144,23,0.1597,121.0,60.0,16.97,18.0,0.943,2.0167,16.87,0.1239,0.06,1415.19,60,0.601674,98850.113281,1.435852,-0.473241,0.7732,1.0,1.269
13,1.0,103,115,12,0.1043,103.0,60.0,20.15,18.0,1.1196,1.7167,20.05,0.1284,0.06,1339.06,60,0.585079,79365.552344,1.436653,-0.463217,0.8447,1.0,1.3096
14,1.0,102,118,16,0.1356,102.0,60.0,16.77,18.0,0.9316,1.7,16.67,0.1359,0.06,1491.95,60,0.915959,82161.621094,1.437392,-0.437545,0.6428,1.0,1.3626
15,1.0,108,130,22,0.1692,108.0,60.0,14.12,18.0,0.7846,1.8,14.02,0.1468,0.06,1143.4,60,0.526673,66120.676172,1.43817,-0.549089,0.5951,1.0,1.2497
16,1.0,117,142,25,0.1761,117.0,60.0,14.5,18.0,0.8056,1.95,14.4,0.1584,0.06,1425.54,60,0.292241,84810.071875,1.438902,-0.350427,0.741,1.0,1.3054
17,1.0,108,129,21,0.1628,108.0,60.0,14.82,18.0,0.8233,1.8,14.72,0.1687,0.06,813.09,60,0.696138,29254.46543,1.439551,-0.491992,0.6931,1.0,1.254
