episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
0,1.0,86,93,7,0.0753,0.1,86.0,60.0,19.33,18.0,1.0737,1.4333,19.23,0.0,1041.13,60,0.5,0.477,1.562328,59917.479297,2.840576,-0.789601,0.0,1.0,1.4616
1,1.0,102,106,4,0.0377,0.0999,102.0,60.0,26.75,18.0,1.4862,1.7,26.65,0.0,1714.75,60,0.431,0.528,1.93748,146719.01875,2.846457,-0.958143,0.0,1.0,1.3871
2,1.0,99,104,5,0.0481,0.0999,99.0,60.0,24.94,18.0,1.3856,1.65,24.84,0.0,1627.13,60,0.498,0.417,0.565415,138466.235938,2.851651,-0.742797,0.0,1.0,1.3796
3,1.0,94,97,3,0.0309,0.0998,94.0,60.0,25.29,18.0,1.4052,1.5667,25.19,0.0,1740.09,60,0.552,0.468,4.880891,166121.928125,2.856387,-0.753462,0.0,1.0,1.356
4,1.0,83,86,3,0.0349,0.0997,83.0,60.0,22.0,18.0,1.2225,1.3833,21.9,0.0,1434.97,60,0.518,0.459,0.596993,94288.920312,2.862419,-0.816748,0.0,1.0,1.4447
5,1.0,90,95,5,0.0526,0.0997,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0,1188.95,60,0.466,0.53,4.23329,83862.664062,2.867411,-0.936395,0.0,1.0,1.4129
6,1.0,88,93,5,0.0538,0.0996,88.0,60.0,21.67,18.0,1.2038,1.4667,21.57,0.0,1135.33,60,0.538,0.437,0.93008,83623.999219,2.873226,-0.548011,0.0,1.0,1.4347
7,1.0,84,89,5,0.0562,0.0995,84.0,60.0,20.48,18.0,1.1378,1.4,20.38,0.0,1099.27,60,0.5,0.454,2.452461,61012.565625,2.877768,-0.701849,0.0,1.0,1.4282
8,1.0,81,89,8,0.0899,0.0995,81.0,60.0,17.02,18.0,0.9455,1.35,16.92,0.0,829.3,60,0.568,0.479,1.996618,42616.723047,2.882867,-0.790995,0.0,1.0,1.3816
9,1.0,99,105,6,0.0571,0.0994,99.0,60.0,24.04,18.0,1.3357,1.65,23.94,0.0,1453.17,60,0.59,0.519,1.670963,113170.297656,2.887974,-0.83938,0.0,1.0,1.3946
10,1.0,83,89,6,0.0674,0.0993,83.0,60.0,19.3,18.0,1.0725,1.3833,19.2,0.0,1253.74,60,0.592,0.404,1.250078,83197.967969,2.89195,-0.94721,0.0,1.0,1.3742
11,1.0,94,103,9,0.0874,0.0993,94.0,60.0,19.99,18.0,1.1104,1.5667,19.89,0.0,751.35,60,0.524,0.415,0.329199,41949.61875,2.895038,-0.748632,0.0,1.0,1.2793
12,1.0,99,107,8,0.0748,0.0992,99.0,60.0,22.3,18.0,1.2388,1.65,22.2,0.0,1470.35,60,0.546,0.485,1.293028,99208.601562,2.897409,-0.817286,0.0,1.0,1.4611
13,1.0,84,88,4,0.0455,0.0991,84.0,60.0,21.38,18.0,1.1879,1.4,21.28,0.0,1292.68,60,0.495,0.495,0.972394,92098.242969,2.899848,-0.93685,0.0,1.0,1.4197
14,1.0,96,99,3,0.0303,0.0991,96.0,60.0,25.89,18.0,1.4384,1.6,25.79,0.0,1754.18,60,0.499,0.487,12.941635,149663.773438,2.903536,-0.702692,0.0,1.0,1.3985
15,1.0,110,111,1,0.009,0.099,110.0,60.0,32.01,18.0,1.7783,1.8333,31.91,0.0,1925.73,60,0.599,0.342,1.658289,199135.254688,2.910564,-0.876919,0.0,1.0,1.3663
16,1.0,97,102,5,0.049,0.0989,97.0,60.0,24.35,18.0,1.3525,1.6167,24.25,0.0,1283.82,60,0.552,0.411,0.582313,99284.214844,2.914901,-0.686532,0.0,1.0,1.4471
17,1.0,96,104,8,0.0769,0.0989,96.0,60.0,21.42,18.0,1.1897,1.6,21.32,0.0,1220.59,60,0.622,0.477,1.555683,92067.579688,2.91739,-1.030479,0.0,1.0,1.3954
18,1.0,83,91,8,0.0879,0.0988,83.0,60.0,17.6,18.0,0.978,1.3833,17.5,0.0,1095.99,60,0.583,0.388,1.609849,64938.045312,2.919813,-0.685979,0.0,1.0,1.3894
19,1.0,90,95,5,0.0526,0.0987,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0,1279.55,60,0.534,0.478,0.80632,88559.858594,2.922446,-0.695831,0.0,1.0,1.4032
20,1.0,96,101,5,0.0495,0.0987,96.0,60.0,24.05,18.0,1.336,1.6,23.95,0.0,1348.84,60,0.597,0.502,130.628439,98167.453906,2.929276,-1.027612,0.0,1.0,1.4236
21,1.0,93,103,10,0.0971,0.0986,93.0,60.0,18.87,18.0,1.0484,1.55,18.77,0.0,1226.81,60,0.619,0.334,1.686894,78905.625,2.943045,-0.877066,0.0,1.0,1.3248
22,1.0,93,97,4,0.0412,0.0985,93.0,60.0,24.06,18.0,1.3369,1.55,23.96,0.0,1471.19,60,0.528,0.358,3.486787,115499.401562,2.949865,-0.908033,0.0,1.0,1.4021
23,1.0,90,95,5,0.0526,0.0985,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0,1140.24,60,0.591,0.334,1.711513,72606.864062,2.952751,-0.709617,0.0,1.0,1.4357
24,1.0,93,99,6,0.0606,0.0984,93.0,60.0,22.26,18.0,1.2369,1.55,22.16,0.0,1394.34,60,0.553,0.397,0.784471,103843.870312,2.954139,-0.688913,0.0,1.0,1.3571
25,1.0,90,95,5,0.0526,0.0983,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0,1401.3,60,0.523,0.411,24.707803,96897.1625,2.955331,-0.971935,0.0,1.0,1.406
26,1.0,84,96,12,0.125,0.0983,84.0,60.0,14.7,18.0,0.8167,1.4,14.6,0.0003,819.25,60,0.526,0.347,1.345652,33392.320898,2.957533,-0.720071,0.0,1.0,1.4463
27,1.0,101,103,2,0.0194,0.0982,101.0,60.0,28.34,18.0,1.5744,1.6833,28.24,0.0,1658.58,60,0.619,0.317,4.62734,144650.954688,2.959043,-1.122718,0.0,1.0,1.3936
28,1.0,101,109,8,0.0734,0.0981,101.0,60.0,22.89,18.0,1.2715,1.6833,22.79,0.0,1448.2,60,0.674,0.435,0.861771,109212.079688,2.960113,-0.79504,0.0,1.0,1.3571
29,1.0,83,90,7,0.0778,0.0981,83.0,60.0,18.44,18.0,1.0247,1.3833,18.34,0.0,977.12,60,0.565,0.378,1.005095,60266.485156,2.960743,-1.053721,0.0,1.0,1.3939
30,1.0,84,90,6,0.0667,0.098,84.0,60.0,19.6,18.0,1.0889,1.4,19.5,0.0,1249.06,60,0.498,0.361,2.077667,81684.889844,2.961249,-0.781547,0.0,1.0,1.4061
31,1.0,106,116,10,0.0862,0.0979,106.0,60.0,22.66,18.0,1.259,1.7667,22.56,0.0,1244.85,60,0.649,0.335,1.519711,93142.38125,2.961817,-0.579944,0.0,1.0,1.4105
32,1.0,98,103,5,0.0485,0.0979,98.0,60.0,24.64,18.0,1.369,1.6333,24.54,0.0,1627.73,60,0.611,0.51,0.408434,136863.814062,2.962321,-0.670417,0.0,1.0,1.3483
33,1.0,90,97,7,0.0722,0.0978,90.0,60.0,20.51,18.0,1.1392,1.5,20.41,0.0,1322.29,60,0.582,0.437,0.514304,87357.794531,2.962629,-0.741525,0.0,1.0,1.3702
34,1.0,97,99,2,0.0202,0.0977,97.0,60.0,27.14,18.0,1.5078,1.6167,27.04,0.0,1483.0,60,0.612,0.357,2.785298,108119.719531,2.962951,-0.843979,0.0,1.0,1.4552
35,1.0,83,90,7,0.0778,0.0977,83.0,60.0,18.44,18.0,1.0247,1.3833,18.34,0.0,1005.29,60,0.659,0.534,1.025378,52103.678125,2.963459,-0.938031,0.0,1.0,1.3916
36,1.0,83,89,6,0.0674,0.0976,83.0,60.0,19.3,18.0,1.0725,1.3833,19.2,0.0,1146.81,60,0.628,0.339,3.050509,62445.217188,2.964051,-0.722569,0.0,1.0,1.4501
37,1.0,89,99,10,0.101,0.0975,89.0,60.0,17.71,18.0,0.9839,1.4833,17.61,0.0,1058.53,60,0.552,0.289,0.814438,61559.172656,2.964832,-0.686291,0.0,1.0,1.4086
38,1.0,95,100,5,0.05,0.0975,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0,1528.7,60,0.637,0.388,0.997436,115574.925781,2.965428,-0.989798,0.0,1.0,1.3664
39,1.0,86,92,6,0.0652,0.0974,86.0,60.0,20.19,18.0,1.1217,1.4333,20.09,0.0,1141.96,60,0.632,0.34,1.770462,67590.147656,2.965944,-0.702242,0.0,1.0,1.4122
40,1.0,97,106,9,0.0849,0.0973,97.0,60.0,20.86,18.0,1.1591,1.6167,20.76,0.0,1159.38,60,0.644,0.346,1.269383,70262.634375,2.966585,-0.647128,0.0,1.0,1.3909
41,1.0,87,92,5,0.0543,0.0973,87.0,60.0,21.37,18.0,1.1873,1.45,21.27,0.0,1446.99,60,0.622,0.389,1.352266,114426.623438,2.967192,-0.826802,0.0,1.0,1.3671
42,1.0,95,100,5,0.05,0.0972,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0,1831.23,60,0.605,0.298,0.33546,161211.034375,2.967688,-0.59681,0.0,1.0,1.3784
43,1.0,87,89,2,0.0225,0.0971,87.0,60.0,24.14,18.0,1.3414,1.45,24.04,0.0,1645.81,60,0.585,0.383,3.972765,137809.476562,2.968125,-0.944453,0.0,1.0,1.3505
44,1.0,101,107,6,0.0561,0.0971,101.0,60.0,24.64,18.0,1.3687,1.6833,24.54,0.0,1343.05,60,0.707,0.34,0.730207,99247.684375,2.968815,-0.754346,0.0,1.0,1.3899
45,1.0,103,113,10,0.0885,0.097,103.0,60.0,21.78,18.0,1.2103,1.7167,21.68,0.0,1391.22,60,0.555,0.342,0.646623,93621.1375,2.96932,-0.803364,0.0,1.0,1.4313
46,1.0,99,110,11,0.1,0.0969,99.0,60.0,19.8,18.0,1.1,1.65,19.7,0.0,1322.2,60,0.71,0.369,2.56171,74462.8625,2.96978,-0.817735,0.0,1.0,1.4478
47,1.0,88,93,5,0.0538,0.0969,88.0,60.0,21.67,18.0,1.2038,1.4667,21.57,0.0,1030.43,60,0.559,0.363,8.123052,60359.882031,2.970822,-1.095922,0.0,1.0,1.4154
48,1.0,95,102,7,0.0686,0.0968,95.0,60.0,21.98,18.0,1.2211,1.5833,21.88,0.0,1300.96,60,0.627,0.38,107.246097,83648.289844,2.977059,-1.168885,0.0,1.0,1.3779
49,1.0,99,103,4,0.0388,0.0967,99.0,60.0,25.86,18.0,1.4364,1.65,25.76,0.0,1752.93,60,0.566,0.326,1.643397,158819.803125,2.991784,-0.780739,0.0,1.0,1.3498
