episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,reward,novelty,causal_gain,data_value,cumulative_data_value
0,1.0,95,101,6,0.059406,95.0,60.0,22.856436,18.0,1.269802,1.583333,22.756436,0.0,0.06,22.756436,1.0,95.0,28.5,28.5
1,1.0,95,102,7,0.068627,95.0,60.0,21.980392,18.0,1.221133,1.583333,21.880392,0.000863,0.06,21.880392,0.018443,95.0,28.5,57.0
2,1.0,93,100,7,0.07,93.0,60.0,21.39,18.0,1.188333,1.55,21.29,0.001863,0.06,21.289991,0.023307,93.0,27.9,84.9
3,1.0,91,98,7,0.071429,91.0,60.0,20.8,18.0,1.155556,1.516667,20.7,0.003006,0.06,20.699979,0.03505,92.0,27.6,112.5
4,1.0,72,76,4,0.052632,72.0,60.0,17.810526,18.0,0.989474,1.2,17.710526,0.002269,0.06,17.710526,0.21701,73.333333,22.0,134.5
5,1.0,93,102,9,0.088235,93.0,60.0,19.694118,18.0,1.094118,1.55,19.594118,0.005092,0.06,19.594054,0.060934,98.75,29.625,164.125
6,1.0,82,89,7,0.078652,82.0,60.0,18.150562,18.0,1.008365,1.366667,18.050562,0.006957,0.06,18.050467,0.080978,82.4,24.72,188.845
7,1.0,90,93,3,0.032258,90.0,60.0,24.096774,18.0,1.33871,1.5,23.996774,0.004183,0.06,23.996774,0.076284,92.166667,27.65,216.495
8,1.0,80,87,7,0.08046,80.0,60.0,17.563218,18.0,0.975734,1.333333,17.463218,0.006229,0.06,17.463133,0.09388,80.714286,24.214286,240.709286
9,1.0,93,98,5,0.05102,93.0,60.0,23.155102,18.0,1.286395,1.55,23.055102,0.005331,0.06,23.055102,0.060128,94.875,28.4625,269.171786
10,1.0,102,106,4,0.037736,102.0,60.0,26.750943,18.0,1.486164,1.7,26.650943,0.003105,0.06,26.650943,0.146727,102.222222,30.666667,299.838452
11,1.0,100,108,8,0.074074,100.0,60.0,22.592593,18.0,1.255144,1.666667,22.492593,0.004512,0.06,22.492549,0.106074,99.3,29.79,329.628452
12,1.0,88,96,8,0.083333,88.0,60.0,19.066667,18.0,1.059259,1.466667,18.966667,0.006846,0.06,18.966561,0.046532,87.545455,26.263636,355.892089
13,1.0,88,93,5,0.053763,88.0,60.0,21.668817,18.0,1.203823,1.466667,21.568817,0.006222,0.06,21.568817,0.03252,88.583333,26.575,382.467089
14,1.0,100,106,6,0.056604,100.0,60.0,24.339623,18.0,1.352201,1.666667,24.239623,0.005882,0.06,24.239623,0.099798,100.538462,30.161538,412.628627
15,1.0,102,108,6,0.055556,102.0,60.0,24.933333,18.0,1.385185,1.7,24.833333,0.005438,0.06,24.833333,0.113231,101.642857,30.492857,443.121484
16,1.0,118,125,7,0.056,118.0,60.0,28.792,18.0,1.599556,1.966667,28.692,0.005038,0.06,28.692,0.265409,117.533333,35.26,478.381484
17,1.0,98,106,8,0.075472,98.0,60.0,22.003774,18.0,1.222432,1.633333,21.903774,0.006585,0.06,21.903696,0.055415,96.5625,28.96875,507.350234
18,1.0,85,90,5,0.055556,85.0,60.0,20.777778,18.0,1.154321,1.416667,20.677778,0.006141,0.06,20.677778,0.084882,84.823529,25.447059,532.797293
19,1.0,94,100,6,0.06,94.0,60.0,22.56,18.0,1.253333,1.566667,22.46,0.006141,0.06,22.46,0.012773,94.555556,28.366667,561.16396
20,1.0,94,98,4,0.040816,94.0,60.0,24.363265,18.0,1.353515,1.566667,24.263265,0.004222,0.06,24.263265,0.045672,94.052632,28.215789,589.379749
