episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
0,0.017,1,4,3,0.75,0.1,60.0,60,-27.0,18.0,-1.5,1.0,-27.1,0.0065,-616.64,60,0.547,0.502,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
1,0.017,1,4,3,0.75,0.0999,60.0,60,-27.0,18.0,-1.5,1.0,-27.1,0.013,-298.9,60,0.537,0.494,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
2,0.017,1,5,4,0.8,0.0999,60.0,60,-30.0,18.0,-1.6667,1.0,-30.1,0.02,-728.84,60,0.501,0.533,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
3,0.017,0,2,2,1.0,0.0998,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.029,-6.61,60,0.453,0.538,240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7206,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
4,0.017,1,1,0,0.0,0.0997,60.0,60,18.0,18.0,1.0,1.0,17.9,0.028,479.57,60,0.511,0.502,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7251,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
5,0.017,2,2,0,0.0,0.0997,120.0,60,36.0,18.0,2.0,2.0,35.9,0.027,2952.11,60,0.537,0.528,360,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7384,0.0,60.0,0.0,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
6,0.017,3,5,2,0.4,0.0996,180.0,60,-18.0,18.0,-1.0,3.0,-18.1,0.03,1109.73,60,0.52,0.455,420,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7337,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
7,0.017,3,4,1,0.25,0.0995,180.0,60,9.0,18.0,0.5,3.0,8.9,0.0315,2250.13,60,0.521,0.494,480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0
8,0.017,1,4,3,0.75,0.0995,60.0,60,-27.0,18.0,-1.5,1.0,-27.1,0.038,-645.41,60,0.54,0.464,540,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7144,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
9,0.017,0,0,0,0.0,0.0994,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.037,-6.0,60,0.5,0.524,600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7432,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
