episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
0,0.017,0,0,0,0.0,0.1,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0,-6.0,60,0.499,0.457,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
1,0.017,1,3,2,0.6667,0.0999,60.0,60,-22.0,18.0,-1.2222,1.0,-22.1,0.0057,-193.21,60,0.569,0.48,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
2,0.017,1,1,0,0.0,0.0999,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0047,927.03,60,0.464,0.481,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
3,0.017,1,1,0,0.0,0.0998,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0037,3428.26,60,0.566,0.512,240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
4,0.017,1,1,0,0.0,0.0997,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0027,30.31,60,0.561,0.424,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
5,0.017,2,2,0,0.0,0.0997,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0017,1821.67,60,0.524,0.51,360,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,60.0,0.0,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
6,0.017,0,0,0,0.0,0.0996,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0007,-6.0,60,0.479,0.383,420,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
7,0.017,1,1,0,0.0,0.0995,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0,845.49,60,0.426,0.529,480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
8,0.017,1,1,0,0.0,0.0995,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0,632.36,60,0.51,0.514,540,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
9,0.017,1,1,0,0.0,0.0994,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0,1062.18,60,0.452,0.528,600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
10,0.017,0,0,0,0.0,0.0993,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0,-6.0,60,0.493,0.518,660,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.8393,-60.0,0.8393,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
11,0.017,2,2,0,0.0,0.0993,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0,2952.81,60,0.488,0.513,720,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0788,120.0,0.0788,18.0,0.3,0.0007,0.9993,0.0002,0.2998,18.0,18.0,0.0
12,0.017,1,2,1,0.5,0.0992,60.0,60,-12.0,18.0,-0.6667,1.0,-12.1,0.004,-195.49,60,0.487,0.527,780,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5778,-60.0,1.5778,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
13,0.017,2,2,0,0.0,0.0991,120.0,60,36.0,18.0,2.0,2.0,35.9,0.003,3452.52,60,0.616,0.454,840,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.8081,60.0,0.8081,18.0,0.3,0.0135,0.9865,0.004,0.296,18.0,18.0,0.0
14,0.017,0,0,0,0.0,0.0991,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.002,-6.0,60,0.455,0.443,900,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.548,-120.0,1.548,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
15,0.017,0,0,0,0.0,0.099,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.001,-6.0,60,0.551,0.464,960,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0286,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
16,0.017,1,1,0,0.0,0.0989,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0,30.31,60,0.555,0.452,1020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0283,60.0,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
17,0.017,0,0,0,0.0,0.0989,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0,-6.0,60,0.487,0.564,1080,1754.098145,-6.185687,0.0983,0.0,0.0,0.5351,1.0,6.18,0.5351,0.7889,-60.0,0.7889,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
0,0.006,0,0,0,0.0,0.1,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0,-2.0,20,0.632,0.572,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
1,0.006,0,0,0,0.0,0.0999,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0,-2.0,20,0.505,0.452,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
2,0.006,1,1,0,0.0,0.0999,180.0,60,54.0,18.0,3.0,3.0,53.9,0.0,1083.27,20,0.361,0.348,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,180.0,0.0,36.0,0.2,0.0,1.0,0.0,0.2,18.0,18.0,0.0
3,0.006,1,2,1,0.5,0.0998,180.0,60,-36.0,18.0,-2.0,3.0,-36.1,0.004,-38.0,20,0.537,0.481,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
4,0.006,1,1,0,0.0,0.0997,180.0,60,54.0,18.0,3.0,3.0,53.9,0.003,371.87,20,0.656,0.574,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,36.0,0.2,0.0,1.0,0.0,0.2,18.0,18.0,0.0
5,0.006,0,0,0,0.0,0.0997,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.002,-2.0,20,0.512,0.385,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
6,0.006,0,0,0,0.0,0.0996,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.001,-2.0,20,0.442,0.465,140,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
