episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
0,1.0,90,96,6,0.0625,0.1,90.0,60.0,21.38,18.0,1.1875,1.5,21.27,0.0,1179.54,60,0.493,0.429,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,3.375,3.375,0.0,1.0,0.0,3.375,18.0,18.0,0.0
1,1.0,95,98,3,0.0306,0.0999,95.0,60.0,25.59,18.0,1.4218,1.5833,25.49,0.0,1450.88,60,0.388,0.511,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,5.0,0.0,7.5918,7.5918,0.0,1.0,0.0,7.5918,18.0,18.0,0.0
2,1.0,87,91,4,0.044,0.0999,87.0,60.0,22.28,18.0,1.2375,1.45,22.18,0.0,1613.6,60,0.481,0.514,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-8.0,0.0,4.2758,4.2758,0.0,1.0,0.0,4.2758,18.0,18.0,0.0
3,1.0,85,89,4,0.0449,0.0998,85.0,60.0,21.68,18.0,1.2044,1.4167,21.58,0.0,1246.16,60,0.496,0.489,240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-2.0,0.0,3.6798,3.6798,0.0,1.0,0.0,3.6798,18.0,18.0,0.0
4,1.0,90,95,5,0.0526,0.0997,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0,1510.29,60,0.39,0.529,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,5.0,0.0,4.2632,4.2632,0.0,1.0,0.0,4.2632,18.0,18.0,0.0
5,1.0,84,86,2,0.0233,0.0997,84.0,60.0,23.25,18.0,1.2915,1.4,23.15,0.0,1553.34,60,0.449,0.515,360,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-6.0,0.0,5.2465,5.2465,0.0,1.0,0.0,5.2465,18.0,18.0,0.0
6,1.0,99,102,3,0.0294,0.0996,99.0,60.0,26.79,18.0,1.4882,1.65,26.69,0.0,1728.52,60,0.497,0.483,420,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,15.0,0.0,8.7882,8.7882,0.0,1.0,0.0,8.7882,18.0,18.0,0.0
7,1.0,95,96,1,0.0104,0.0995,95.0,60.0,27.51,18.0,1.5284,1.5833,27.41,0.0,1751.87,60,0.549,0.554,480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-4.0,0.0,9.5104,9.5104,0.0,1.0,0.0,9.5104,18.0,18.0,0.0
8,1.0,86,95,9,0.0947,0.0995,86.0,60.0,17.65,18.0,0.9807,1.4333,17.55,0.0,934.02,60,0.434,0.401,540,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.6526,0.3474
9,1.0,87,93,6,0.0645,0.0994,87.0,60.0,20.49,18.0,1.1382,1.45,20.39,0.0,1122.3,60,0.48,0.589,600,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,2.4871,2.4871,0.0,1.0,0.0,2.4871,18.0,18.0,0.0
