episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
0,1.0,94,100,6,0.06,0.1,94.0,60,22.56,18.0,1.2533,1.5667,22.46,0.0,1199.92,60,0.547,0.502,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.56,4.56,0.0,1.0,0.0,4.56,18.0,18.0,0.0
1,1.0,101,103,2,0.0194,0.0999,101.0,60,28.34,18.0,1.5744,1.6833,28.24,0.0,1915.07,60,0.463,0.556,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,7.0,0.0,10.3388,10.3388,0.0,1.0,0.0,10.3388,18.0,18.0,0.0
0,1.0,94,100,6,0.06,0.1,94.0,60,22.56,18.0,1.2533,1.5667,22.46,0.0,1199.92,60,0.547,0.502,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.56,4.56,0.0,1.0,0.0,4.56,18.0,18.0,0.0
1,1.0,101,103,2,0.0194,0.0999,101.0,60,28.34,18.0,1.5744,1.6833,28.24,0.0,1915.07,60,0.463,0.556,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,7.0,0.0,10.3388,10.3388,0.0,1.0,0.0,10.3388,18.0,18.0,0.0
2,1.0,84,87,3,0.0345,0.0999,84.0,60,22.3,18.0,1.2391,1.4,22.2,0.0,1508.13,60,0.472,0.477,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-17.0,0.0,4.3034,4.3034,0.0,1.0,0.0,4.3034,18.0,18.0,0.0
3,1.0,94,94,0,0.0,0.0998,94.0,60,28.2,18.0,1.5667,1.5667,28.1,0.0,1666.55,60,0.503,0.531,240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,10.0,0.0,10.2,10.2,0.0,1.0,0.0,10.2,18.0,18.0,0.0
4,1.0,89,96,7,0.0729,0.0997,89.0,60,20.21,18.0,1.1228,1.4833,20.11,0.0,1267.16,60,0.493,0.427,300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-5.0,0.0,2.2104,2.2104,0.0,1.0,0.0,2.2104,18.0,18.0,0.0
5,1.0,97,97,0,0.0,0.0997,97.0,60,29.1,18.0,1.6167,1.6167,29.0,0.0,1879.28,60,0.516,0.602,360,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,8.0,0.0,11.1,11.1,0.0,1.0,0.0,11.1,18.0,18.0,0.0
6,1.0,97,98,1,0.0102,0.0996,97.0,60,28.11,18.0,1.5617,1.6167,28.01,0.0,1898.18,60,0.515,0.512,420,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,10.1102,10.1102,0.0,1.0,0.0,10.1102,18.0,18.0,0.0
7,1.0,91,92,1,0.0109,0.0995,91.0,60,26.31,18.0,1.4617,1.5167,26.21,0.0,1857.13,60,0.52,0.458,480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,-6.0,0.0,8.3109,8.3109,0.0,1.0,0.0,8.3109,18.0,18.0,0.0
